wavelength_micron,crosssection_cm2
1.0099360753050703,1.4676115456794018e-25
1.02993557808393,5.265344864155773e-26
1.0499368593656744,6.015995240751808e-27
1.069937752955532,1.4349413932347863e-25
1.0899387110304177,1.469587021731802e-24
1.1099399430009553,3.3831906164385545e-23
1.1299410515443804,1.6541140427796204e-22
1.1499419626995788,8.395784895788995e-23
1.1699427069608677,8.034395663440096e-24
1.1899439184664835,4.1863122219813796e-24
1.2099452077555097,2.5838684578654005e-24
1.2299455676171833,5.536479605054878e-25
1.2499461665769391,2.5341108337595976e-26
1.269947302644593,7.8619710848425e-26
1.2899480878623215,7.4044535427194745e-25
1.309948662616321,6.682379621985331e-24
1.3299493142829617,2.1964156629637683e-23
1.3499503705718345,7.907635098200732e-22
1.3699511029705063,2.031012955825659e-21
1.389951408817562,1.9752453975020813e-21
1.409952740678797,9.62417706845549e-22
1.4299541464893537,2.6753331445792896e-22
1.4499549736569641,1.4835061333599456e-22
1.469954790670934,1.1885043182168146e-22
1.4899544748750075,4.260950825987089e-23
1.5099551165036267,5.514722141993108e-24
1.5299556530221523,7.643696128001181e-25
1.5499560802303065,1.2246753183644881e-25
1.569957524266074,5.220375816885685e-26
1.5899585057120729,5.858100370098298e-26
1.6099584668948572,3.226171759544196e-26
1.6299591025255145,3.2252496853917413e-26
1.6499591702339669,9.754592075276712e-26
1.6699596456380545,1.8109915170679683e-25
1.6899610422816849,4.483241019808045e-25
1.709961885268887,1.0551991601683497e-24
1.7299613787989692,3.326999995313692e-24
1.7499610098708909,7.213324547520823e-24
1.7699615892827667,1.572432508860782e-23
1.7899615716694701,6.825070883697779e-23
1.8099616246682069,5.317596504313746e-22
1.829963178287401,2.777498282302769e-21
1.8499650301803134,3.2474681299908314e-21
1.8699647925367964,3.1348653002942147e-21
1.8899640761926761,1.547998727304494e-21
1.9099652378935807,2.266584070255206e-21
1.9299658348644821,1.2184464414251718e-21
1.949965722275906,1.9042291360741863e-22
1.9699672092477591,4.3647396885176987e-23
1.9899674029791043,1.437926824782615e-23
2.00996776118698,6.1539323697267925e-24
2.029968261805366,1.9352345007610025e-24
2.0499673203174904,1.1531102354395829e-24
2.0699679613947084,8.753859472302635e-25
2.089969545426134,6.280675351523064e-25
2.1099696095517166,6.712853476141992e-25
2.129968212801419,4.040038371362352e-25
2.1499681520931726,4.581138444464462e-25
2.1699681274653306,8.296830810969863e-25
2.189969574510988,1.4533372281863376e-24
2.2099719296492744,6.780803494985673e-25
2.2299700360158616,1.8169419390061357e-25
2.249968855678357,7.663252175515943e-26
2.2699714617889155,1.1639472885588886e-25
2.2899710203610817,4.100207313393667e-25
2.3099712657305185,2.850990724417995e-25
2.3299737305283545,1.4761313895201767e-24
2.3499721622702583,4.8581794462484626e-24
2.3699714062744985,8.008883715703243e-24
2.3899712090470406,1.6938342730974854e-23
2.409971645285924,4.444601454220248e-23
2.429973034684548,5.383000984192694e-23
2.449973040563267,7.487441299302115e-23
2.4699724724694154,1.1826234976673584e-22
2.4899724826773344,2.623884981821226e-22
2.5099745453901567,5.510997842775945e-22
2.5299740841376277,2.2074828709474485e-21
2.5499730145786,5.002255599077965e-21
2.5699735713673015,1.9830058059524424e-20
2.5899750591199457,3.5575554663456566e-20
2.609976933781781,2.6571611732786823e-20
2.629975412254672,2.4603750942924254e-20
